balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,True,0,5.192715200129896,116,1,BART
1,5,False,25,3.8054717001505196,116,1,BART
2,6,False,30,5.4668539999984205,116,1,BART
3,2,True,0,0.6400996996089816,116,1,BART
4,7,False,35,4.843353699892759,116,1,BART
5,6,True,0,2.5392328002490103,116,1,BART
6,5,False,25,3.893241100013256,116,1,BART
7,6,False,30,4.400809900369495,116,1,BART
8,4,False,20,3.799829399678856,116,1,BART
9,6,False,30,3.8666459997184575,116,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.2,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),195,,,,,,
每个气球平均收益(¥),19.5,,,,,,
