level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,75.0,444.8449249806193,83.33333333333334,66.66666666666666,100.0,468.0591832924013,421.63066666883725,267.7043001167476,111,1
block,2,100.0,686.1313454044814,100.0,100.0,100.0,758.2850998733193,678.9159699575976,603.7388248951174,111,1
block,3,91.66666666666666,573.0043749984665,75.0,100.0,100.0,671.6463500051759,523.6833874951117,240.14027504017577,111,1
block,4,100.0,751.3492916865895,100.0,100.0,100.0,660.2461334162703,781.7170111100294,695.3735500574112,111,1
block,5,90.9090909090909,388.483781748536,100.0,87.5,75.0,271.8762999090056,432.21158743835986,474.8996999114752,111,1
block,6,91.66666666666666,635.3350416951192,100.0,90.0,100.0,569.6978500345722,648.4624800272286,713.3733498631045,111,1
block,7,100.0,554.8737916784982,100.0,100.0,100.0,696.1155999451876,542.0336272906173,222.46085002552718,111,1
block,8,100.0,432.87684163078666,100.0,100.0,100.0,348.18512498168275,475.2226999553386,304.00634999386966,111,1
total,all,93.61702127659575,558.810399986427,91.66666666666666,94.28571428571428,96.15384615384616,511.5768624818884,575.0047557022689,449.2196846001137,111,1
