phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.0,6.75,120,2
baseline,neutral,5.65,6.15,120,2
baseline,negative,1.7,7.7,120,2
regulation,negative,2.65,6.2,120,2
