trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,X,True,True,0.3715007998980582,True,0,0,124,2,N-back
1,W,False,False,,True,0,0,124,2,N-back
2,T,False,False,,True,0,0,124,2,N-back
3,T,False,False,,True,0,0,124,2,N-back
4,G,False,False,,True,0,0,124,2,N-back
5,X,True,True,0.37285419972613454,True,0,0,124,2,N-back
6,X,True,True,0.37669109972193837,True,0,0,124,2,N-back
7,Y,False,False,,True,0,0,124,2,N-back
8,S,False,False,,True,0,0,124,2,N-back
9,X,True,True,0.3706013998016715,True,0,0,124,2,N-back
10,X,True,True,0.4160501998849213,True,0,0,124,2,N-back
11,X,True,True,0.3206833996810019,True,0,0,124,2,N-back
12,Y,False,False,,True,0,0,124,2,N-back
13,X,True,True,0.3253381000831723,True,0,0,124,2,N-back
14,X,True,True,0.3639151002280414,True,0,0,124,2,N-back
15,X,True,True,0.35723769990727305,True,0,0,124,2,N-back
16,X,True,True,0.3611602997407317,True,0,0,124,2,N-back
17,H,False,False,,True,0,0,124,2,N-back
18,X,True,True,0.3794532003812492,True,0,0,124,2,N-back
19,X,True,True,0.4062554999254644,True,0,0,124,2,N-back
20,H,False,False,,True,0,0,124,2,N-back
21,X,True,True,0.37295479979366064,True,0,0,124,2,N-back
22,P,False,False,,True,0,0,124,2,N-back
23,R,False,False,,True,0,0,124,2,N-back
24,Z,False,False,,True,0,0,124,2,N-back
25,X,True,True,0.38007269985973835,True,0,0,124,2,N-back
26,E,False,False,,True,0,0,124,2,N-back
27,H,False,False,,True,0,0,124,2,N-back
28,X,True,True,0.36011109966784716,True,0,0,124,2,N-back
29,H,False,False,,True,0,0,124,2,N-back
0,X,True,True,0.37145290011540055,True,0,1,124,2,N-back
1,G,False,False,,True,0,1,124,2,N-back
2,N,False,False,,True,0,1,124,2,N-back
3,I,False,False,,True,0,1,124,2,N-back
4,V,False,False,,True,0,1,124,2,N-back
5,U,False,False,,True,0,1,124,2,N-back
6,X,True,True,0.47187320003286004,True,0,1,124,2,N-back
7,W,False,False,,True,0,1,124,2,N-back
8,X,True,False,,False,0,1,124,2,N-back
9,X,True,True,0.4325915998779237,True,0,1,124,2,N-back
10,T,False,False,,True,0,1,124,2,N-back
11,K,False,False,,True,0,1,124,2,N-back
12,B,False,False,,True,0,1,124,2,N-back
13,G,False,False,,True,0,1,124,2,N-back
14,X,True,True,0.39460420003160834,True,0,1,124,2,N-back
15,O,False,False,,True,0,1,124,2,N-back
16,T,False,False,,True,0,1,124,2,N-back
17,K,False,False,,True,0,1,124,2,N-back
18,H,False,False,,True,0,1,124,2,N-back
19,J,False,False,,True,0,1,124,2,N-back
20,X,True,True,0.31736710015684366,True,0,1,124,2,N-back
21,F,False,False,,True,0,1,124,2,N-back
22,D,False,False,,True,0,1,124,2,N-back
23,D,False,False,,True,0,1,124,2,N-back
24,X,True,True,0.40983919985592365,True,0,1,124,2,N-back
25,M,False,False,,True,0,1,124,2,N-back
26,T,False,False,,True,0,1,124,2,N-back
27,U,False,False,,True,0,1,124,2,N-back
28,W,False,False,,True,0,1,124,2,N-back
29,I,False,False,,True,0,1,124,2,N-back
0,Q,False,False,,True,1,0,124,2,N-back
1,N,False,False,,True,1,0,124,2,N-back
2,K,False,False,,True,1,0,124,2,N-back
3,R,False,False,,True,1,0,124,2,N-back
4,R,True,True,0.37718289997428656,True,1,0,124,2,N-back
5,S,False,False,,True,1,0,124,2,N-back
6,L,False,False,,True,1,0,124,2,N-back
7,K,False,False,,True,1,0,124,2,N-back
8,D,False,False,,True,1,0,124,2,N-back
9,D,True,True,0.2947506997734308,True,1,0,124,2,N-back
10,A,False,False,,True,1,0,124,2,N-back
11,V,False,False,,True,1,0,124,2,N-back
12,Z,False,False,,True,1,0,124,2,N-back
13,F,False,False,,True,1,0,124,2,N-back
14,B,False,False,,True,1,0,124,2,N-back
15,U,False,False,,True,1,0,124,2,N-back
16,P,False,False,,True,1,0,124,2,N-back
17,L,False,False,,True,1,0,124,2,N-back
18,J,False,False,,True,1,0,124,2,N-back
19,Q,False,False,,True,1,0,124,2,N-back
20,Q,True,True,0.3567035002633929,True,1,0,124,2,N-back
21,E,False,False,,True,1,0,124,2,N-back
22,H,False,False,,True,1,0,124,2,N-back
23,G,False,False,,True,1,0,124,2,N-back
24,G,True,False,,False,1,0,124,2,N-back
25,X,False,False,,True,1,0,124,2,N-back
26,B,False,False,,True,1,0,124,2,N-back
27,B,True,True,0.41671490017324686,True,1,0,124,2,N-back
28,B,True,True,0.40864040004089475,True,1,0,124,2,N-back
29,X,False,False,,True,1,0,124,2,N-back
0,D,False,False,,True,1,1,124,2,N-back
1,D,True,True,0.3441901998594403,True,1,1,124,2,N-back
2,K,False,False,,True,1,1,124,2,N-back
3,M,False,False,,True,1,1,124,2,N-back
4,D,False,False,,True,1,1,124,2,N-back
5,D,True,True,0.311540300026536,True,1,1,124,2,N-back
6,H,False,False,,True,1,1,124,2,N-back
7,F,False,False,,True,1,1,124,2,N-back
8,F,True,False,,False,1,1,124,2,N-back
9,K,False,False,,True,1,1,124,2,N-back
10,N,False,False,,True,1,1,124,2,N-back
11,D,False,False,,True,1,1,124,2,N-back
