balloon,pumps,exploded,earned,rt,participant_id,session,task
0,2,False,10,4.811634500045329,124,2,BART
1,5,False,25,5.383097299840301,124,2,BART
2,5,False,25,6.084028699900955,124,2,BART
3,5,True,0,4.608754499815404,124,2,BART
4,5,False,25,4.432451199740171,124,2,BART
5,2,True,0,1.8525212998501956,124,2,BART
6,7,False,35,6.730624699965119,124,2,BART
7,5,False,25,9.550637099891901,124,2,BART
8,3,True,0,2.4828127999790013,124,2,BART
9,5,False,25,6.249761100392789,124,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.4,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),170,,,,,,
每个气球平均收益(¥),17.0,,,,,,
