trial,word,color,response,rt,correct,block
0,红,Green,2,1.002234200015664,True,0
1,白,Blue,3,0.27877689991146326,True,0
2,蓝,Blue,3,0.02281459979712963,True,0
3,白,Blue,3,0.5503497999161482,True,0
4,蓝,Red,1,0.03654120024293661,True,0
5,蓝,Red,1,0.35988020012155175,True,0
6,蓝,Green,2,0.13798450026661158,True,0
7,白,Red,1,0.12971789995208383,True,0
8,红,Green,2,0.2770907999947667,True,0
9,红,Red,1,0.058021599892526865,True,0
10,白,Blue,3,0.6183036002330482,True,0
11,白,Blue,3,0.41338729998096824,True,0
0,白,Blue,3,0.703222899697721,True,1
1,白,Blue,3,0.35310749989002943,True,1
2,白,Red,1,0.06042780028656125,True,1
3,白,Blue,3,0.12219749996438622,True,1
4,红,Blue,3,0.46791760018095374,True,1
5,红,Green,2,0.40889579989016056,True,1
6,红,Blue,3,0.11686729965731502,True,1
7,绿,Green,2,0.16010409966111183,True,1
8,蓝,Blue,3,0.07221310026943684,True,1
9,蓝,Red,1,0.05857629980891943,True,1
10,蓝,Green,2,0.11813709978014231,True,1
11,红,Red,1,0.06628750031813979,True,1
0,蓝,Blue,3,0.7358975997194648,True,2
1,红,Blue,3,0.4698915998451412,True,2
2,红,Green,2,0.07862559985369444,True,2
3,红,Blue,3,0.9887698004022241,True,2
4,蓝,Green,2,0.1672505997121334,True,2
5,白,Blue,3,0.053694600239396095,True,2
6,红,Red,1,0.02305199997499585,True,2
7,红,Red,1,0.003097299952059984,True,2
8,绿,Blue,3,0.169781600125134,True,2
9,绿,Blue,3,0.6050903997384012,True,2
10,绿,Red,1,0.08129070000723004,True,2
11,白,Green,2,0.09613450011238456,True,2
0,白,Red,1,0.6489504999481142,True,3
1,白,Blue,3,0.16440859995782375,True,3
2,红,Blue,3,0.03990589966997504,True,3
3,白,Blue,3,0.03624420007690787,True,3
4,绿,Green,2,0.09141060011461377,True,3
5,红,Blue,3,0.08669580006971955,True,3
6,绿,Blue,3,0.527184299658984,True,3
7,红,Blue,3,0.04722200008109212,True,3
8,白,Blue,3,0.008861699607223272,True,3
9,红,Green,2,0.35902740014716983,True,3
10,蓝,Blue,3,0.19893749989569187,True,3
11,绿,Green,2,0.17507460014894605,True,3
0,蓝,Red,1,0.2070049000903964,True,4
1,绿,Blue,3,0.7811100999824703,True,4
2,红,Red,1,0.12147640017792583,True,4
3,绿,Green,2,0.08219179976731539,True,4
4,红,Green,2,0.08335840003564954,True,4
5,蓝,Red,3,0.14211919996887445,False,4
6,蓝,Blue,3,0.11809699982404709,True,4
7,红,Green,2,0.2652758997865021,True,4
8,红,Green,2,0.49390169978141785,True,4
9,蓝,Green,2,1.1675288998521864,True,4
10,白,Blue,3,1.066553299780935,True,4
11,白,Red,1,0.45810489961877465,True,4
0,红,Blue,3,0.7032719999551773,True,5
1,绿,Blue,3,0.34630730003118515,True,5
2,绿,Red,1,0.3386443997733295,True,5
3,绿,Green,2,0.7582288002595305,True,5
4,蓝,Blue,3,0.12181170005351305,True,5
5,白,Red,1,0.1896730000153184,True,5
6,白,Red,1,0.34298459999263287,True,5
7,红,Blue,3,0.3666485003195703,True,5
8,红,Red,1,1.2893181000836194,True,5
9,白,Red,1,0.12961980002000928,True,5
10,白,Blue,3,1.3739891001023352,True,5
11,蓝,Red,1,0.8111275001429021,True,5
1,白,Blue,3,0.4056103997863829,True,6
2,红,Green,2,1.4478141004219651,True,6
3,蓝,Blue,3,0.4529472002759576,True,6
4,蓝,Red,1,0.7480774000287056,True,6
5,白,Blue,3,0.22823100024834275,True,6
7,蓝,Blue,3,0.08382649999111891,True,6
8,红,Green,2,0.18993640039116144,True,6
9,蓝,Green,2,0.4248637999407947,True,6
10,白,Blue,3,0.24141470016911626,True,6
11,红,Red,1,0.08283909969031811,True,6
0,蓝,Red,1,1.4723556004464626,True,7
1,白,Red,1,0.3722685002721846,True,7
2,白,Blue,2,0.4095791997388005,False,7
3,蓝,Red,1,0.08407129999250174,True,7
4,白,Blue,3,0.18662500008940697,True,7
5,蓝,Blue,3,0.01491789985448122,True,7
6,红,Blue,3,0.3535907999612391,True,7
7,绿,Blue,3,0.3056917996145785,True,7
8,绿,Green,2,0.3032149998471141,True,7
9,蓝,Red,1,0.17608470004051924,True,7
10,红,Blue,3,0.6761280996724963,True,7
11,蓝,Blue,3,0.009439400397241116,True,7
