phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.85,2.85,18,1
baseline,neutral,4.7,2.3,18,1
baseline,negative,3.1,4.75,18,1
regulation,negative,3.8,3.2,18,1
