trial,word,color,response,rt,correct,block
0,白,Red,3,0.1894376000855118,False,0
1,白,Green,2,0.12648990005254745,True,0
2,绿,Blue,3,0.15585780004039407,True,0
3,蓝,Red,1,1.0950116000603884,True,0
4,白,Red,1,0.03761670005042106,True,0
5,红,Green,2,0.5482435000594705,True,0
6,绿,Red,1,0.678954100003466,True,0
7,红,Blue,3,0.0830017999978736,True,0
8,蓝,Blue,2,0.11930080002639443,False,0
9,白,Red,1,0.0014183000894263387,True,0
10,白,Red,1,0.06343460001517087,True,0
11,白,Red,1,0.5520757000194862,True,0
0,红,Red,1,0.12771139992401004,True,1
1,绿,Green,2,0.352054400020279,True,1
2,绿,Red,1,0.5571582999546081,True,1
3,绿,Blue,3,0.30214499996509403,True,1
4,白,Blue,3,0.38575629994738847,True,1
5,红,Green,2,0.2743536999914795,True,1
6,红,Blue,3,0.9915102999657393,True,1
7,红,Green,2,0.3112490000203252,True,1
8,白,Blue,3,0.33601440000347793,True,1
9,蓝,Blue,3,0.3010409999405965,True,1
10,红,Red,1,0.3633786999853328,True,1
11,白,Red,1,0.05825220001861453,True,1
0,蓝,Red,1,0.1737730000168085,True,2
1,红,Green,2,0.3451874000020325,True,2
2,绿,Blue,3,0.2089419000549242,True,2
3,蓝,Red,1,0.334666799986735,True,2
4,绿,Blue,3,0.5367099000141025,True,2
5,红,Green,2,0.010683800093829632,True,2
6,绿,Green,2,0.11279330006800592,True,2
7,白,Green,2,0.14052859996445477,True,2
8,蓝,Red,1,0.13715389999561012,True,2
9,红,Red,1,0.3605053999926895,True,2
10,绿,Blue,3,0.33354100002907217,True,2
11,绿,Red,3,0.013970699976198375,False,2
0,红,Blue,1,0.14862439990974963,False,3
1,绿,Red,1,0.3840924999676645,True,3
2,红,Green,2,0.6644274999853224,True,3
3,蓝,Blue,3,0.2613094999687746,True,3
4,红,Blue,3,0.037503100000321865,True,3
5,红,Blue,3,0.26441780000459403,True,3
6,绿,Blue,3,0.16690680000465363,True,3
7,白,Green,1,0.30738209991250187,False,3
8,绿,Blue,3,0.4754855999490246,True,3
9,红,Green,2,0.35428510000929236,True,3
10,绿,Green,2,0.8871352999703959,True,3
11,白,Green,2,0.041079499991610646,True,3
0,绿,Red,1,0.11859990004450083,True,4
1,绿,Green,2,0.2385140999685973,True,4
2,白,Green,2,0.06924169999547303,True,4
3,红,Red,1,0.04681770002935082,True,4
4,红,Red,1,0.40828019997570664,True,4
5,红,Blue,3,0.14683230000082403,True,4
6,蓝,Red,1,0.14776969992090017,True,4
7,白,Blue,3,0.2828922000480816,True,4
8,白,Green,2,0.8479011000599712,True,4
9,白,Red,1,0.06239209999330342,True,4
10,白,Blue,3,0.26688380003906786,True,4
11,红,Red,1,0.4162831000285223,True,4
0,绿,Blue,3,0.6101540999952704,True,5
1,蓝,Blue,3,0.03502109996043146,True,5
2,白,Red,1,0.11138559994287789,True,5
3,红,Red,1,0.26122680003754795,True,5
4,红,Red,1,1.2818390999455005,True,5
5,红,Red,1,0.24207709997426718,True,5
6,绿,Red,1,0.31452519993763417,True,5
7,红,Red,1,0.08799810009077191,True,5
8,蓝,Blue,3,0.09830209997016937,True,5
9,白,Red,3,0.11970949999522418,False,5
10,红,Red,1,0.2827514000236988,True,5
11,红,Red,1,0.04175940004643053,True,5
0,白,Blue,3,0.4126418000087142,True,6
1,绿,Red,1,0.15556750004179776,True,6
2,白,Blue,3,0.3180729999439791,True,6
3,蓝,Green,2,0.13454409991391003,True,6
4,绿,Blue,3,0.37626059993635863,True,6
5,绿,Green,2,0.4366603000089526,True,6
6,红,Blue,3,0.3427565998863429,True,6
7,白,Green,2,0.022336199996061623,True,6
8,蓝,Blue,3,0.07631549995858222,True,6
9,白,Red,1,0.417441500001587,True,6
10,白,Blue,1,0.34790159994736314,False,6
11,白,Red,1,0.04039119998924434,True,6
0,蓝,Green,2,0.21835209999699146,True,7
1,白,Red,1,0.568912300048396,True,7
2,绿,Green,2,0.12970129994209856,True,7
3,红,Blue,3,0.4467513000126928,True,7
4,蓝,Green,2,0.4459674999816343,True,7
5,白,Blue,3,0.30484370002523065,True,7
6,白,Blue,3,0.2051731999963522,True,7
7,白,Red,1,0.10073770000599325,True,7
8,白,Red,1,0.30496999993920326,True,7
9,红,Green,2,0.6884058000287041,True,7
10,蓝,Blue,3,0.24294580006971955,True,7
11,蓝,Green,2,0.4578658000100404,True,7
