balloon,pumps,exploded,earned,rt,participant_id,session,task
0,7,False,35,6.041020800010301,23,2,BART
1,7,True,0,7.471592300003977,23,2,BART
2,6,False,30,4.3271439999953145,23,2,BART
3,5,False,25,5.992837099998724,23,2,BART
4,5,False,25,5.4489868999953615,23,2,BART
5,5,True,0,6.8864218999951845,23,2,BART
6,5,False,25,4.114077499994892,23,2,BART
7,5,False,25,4.83322610000323,23,2,BART
8,5,False,25,4.775210499996319,23,2,BART
9,4,True,0,6.009733499988215,23,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.4,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),190,,,,,,
每个气球平均收益(¥),19.0,,,,,,
