balloon,pumps,exploded,earned,rt,participant_id,session,task
0,6,False,30,7.704582700011088,31,2,BART
1,4,False,20,6.2501179999962915,31,2,BART
2,4,False,20,5.37576419999823,31,2,BART
3,5,True,0,5.780919099983294,31,2,BART
4,4,True,0,4.9395701000175904,31,2,BART
5,2,False,10,4.153610199980903,31,2,BART
6,4,False,20,6.166638399998192,31,2,BART
7,4,False,20,5.450456000020495,31,2,BART
8,4,True,0,5.2087320999999065,31,2,BART
9,4,False,20,6.999306399986381,31,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.1,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
