balloon,pumps,exploded,earned,rt,participant_id,session,task
0,6,True,0,35.0415213999986,0,1,BART
1,6,True,0,4.428140899999562,0,1,BART
2,2,True,0,9.51792949999981,0,1,BART
3,3,True,0,5.581236399999398,0,1,BART
4,2,False,10,3.0612211000006937,0,1,BART
5,2,False,10,3.983872999999221,0,1,BART
6,2,False,10,6.432681300000695,0,1,BART
7,2,False,10,9.516429899998911,0,1,BART
8,4,True,0,23.495098100000178,0,1,BART
9,3,False,15,2.2877535999996326,0,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.2,,,,,,
爆炸率(%),50.0,,,,,,
总收益(¥),55,,,,,,
每个气球平均收益(¥),5.5,,,,,,
