trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,I,False,False,,True,0,0,6,2,N-back
1,F,False,False,,True,0,0,6,2,N-back
2,J,False,False,,True,0,0,6,2,N-back
3,X,True,True,0.30934680000063963,True,0,0,6,2,N-back
4,M,False,False,,True,0,0,6,2,N-back
5,O,False,False,,True,0,0,6,2,N-back
6,F,False,False,,True,0,0,6,2,N-back
7,S,False,False,,True,0,0,6,2,N-back
8,Q,False,False,,True,0,0,6,2,N-back
9,X,True,True,0.3456771000055596,True,0,0,6,2,N-back
10,I,False,False,,True,0,0,6,2,N-back
11,U,False,False,,True,0,0,6,2,N-back
12,M,False,False,,True,0,0,6,2,N-back
13,X,True,True,0.35273339999548625,True,0,0,6,2,N-back
14,X,True,True,0.38484120000794064,True,0,0,6,2,N-back
15,H,False,False,,True,0,0,6,2,N-back
16,W,False,False,,True,0,0,6,2,N-back
17,X,True,True,0.35042750000138767,True,0,0,6,2,N-back
18,C,False,False,,True,0,0,6,2,N-back
19,G,False,False,,True,0,0,6,2,N-back
20,C,False,False,,True,0,0,6,2,N-back
21,H,False,False,,True,0,0,6,2,N-back
22,X,True,True,0.3986423000023933,True,0,0,6,2,N-back
23,V,False,False,,True,0,0,6,2,N-back
24,X,True,True,0.38013419999333564,True,0,0,6,2,N-back
25,B,False,False,,True,0,0,6,2,N-back
26,G,False,False,,True,0,0,6,2,N-back
27,L,False,False,,True,0,0,6,2,N-back
28,Q,False,False,,True,0,0,6,2,N-back
29,C,False,False,,True,0,0,6,2,N-back
0,M,False,False,,True,0,1,6,2,N-back
1,L,False,False,,True,0,1,6,2,N-back
2,X,True,True,0.3248269000032451,True,0,1,6,2,N-back
3,D,False,False,,True,0,1,6,2,N-back
4,O,False,False,,True,0,1,6,2,N-back
5,X,True,True,0.36334050000004936,True,0,1,6,2,N-back
6,C,False,False,,True,0,1,6,2,N-back
7,K,False,False,,True,0,1,6,2,N-back
8,M,False,False,,True,0,1,6,2,N-back
9,G,False,False,,True,0,1,6,2,N-back
10,A,False,False,,True,0,1,6,2,N-back
11,G,False,False,,True,0,1,6,2,N-back
12,H,False,False,,True,0,1,6,2,N-back
