balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,3.969245499931276,112,1,BART
1,5,True,0,8.24919700017199,112,1,BART
2,4,False,20,8.206701599992812,112,1,BART
3,5,False,25,6.799387699924409,112,1,BART
4,6,False,30,9.349980799946934,112,1,BART
5,7,False,35,13.533789600245655,112,1,BART
6,6,True,0,7.785494800191373,112,1,BART
7,6,True,0,6.114050699863583,112,1,BART
8,2,True,0,2.248113800305873,112,1,BART
9,7,True,0,5.975891400128603,112,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.1,,,,,,
爆炸率(%),60.0,,,,,,
总收益(¥),110,,,,,,
每个气球平均收益(¥),11.0,,,,,,
