phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.3,3.95,21,2
baseline,neutral,5.05,3.1,21,2
baseline,negative,3.3,5.1,21,2
regulation,negative,4.1,4.8,21,2
