balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,False,20,4.882838599849492,106,2,BART
1,3,False,15,4.733018700033426,106,2,BART
2,2,False,10,2.2985774998087436,106,2,BART
3,4,False,20,2.8591756999958307,106,2,BART
4,4,False,20,4.758584599941969,106,2,BART
5,2,False,10,2.0158679999876767,106,2,BART
6,5,False,25,3.84257879992947,106,2,BART
7,6,False,30,4.1996729001402855,106,2,BART
8,5,False,25,3.2580011000391096,106,2,BART
9,4,False,20,3.34330189996399,106,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.9,,,,,,
爆炸率(%),0.0,,,,,,
总收益(¥),195,,,,,,
每个气球平均收益(¥),19.5,,,,,,
