level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,132.88994166941848,100.0,100.0,100.0,49.04273333765256,160.83901111334046,105.39589999825694,32,1
block,2,100.0,148.1881166716145,100.0,100.0,100.0,190.31043333234265,134.14734445137177,114.64916000841185,32,1
block,3,100.0,131.17758333100937,100.0,100.0,100.0,148.16609999979846,127.77987999725154,76.36689999344526,32,1
block,4,100.0,110.23325000375432,100.0,100.0,100.0,118.1787333431809,107.5847555572788,89.6597999962978,32,1
block,5,100.0,223.846324995975,100.0,100.0,100.0,251.47655999753627,204.1104428520027,150.89086665345044,32,1
block,6,83.33333333333334,321.1875416600378,100.0,80.0,50.0,187.0111499883933,348.0228199943667,157.7464999863878,32,1
block,7,100.0,149.5367833340424,100.0,100.0,100.0,254.97290000203066,139.95168181877074,125.75671666127164,32,1
block,8,100.0,344.9680583338098,100.0,100.0,100.0,179.36974999611266,427.76721250265837,462.41008000215515,32,1
total,all,97.91666666666666,195.25344999995772,100.0,97.26027397260275,96.55172413793103,172.729778260438,202.34994931514885,175.98555516953388,32,1
