phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.1,4.45,11,1
baseline,neutral,4.8,2.95,11,1
baseline,negative,3.55,5.95,11,1
regulation,negative,3.55,6.65,11,1
