balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,True,0,2.21599199999946,105,2,BART
1,5,True,0,5.247980600000119,105,2,BART
2,4,False,20,2.7843915000003108,105,2,BART
3,4,True,0,1.8076266000007308,105,2,BART
4,4,False,20,3.5312831000001097,105,2,BART
5,4,False,20,3.1050396999999066,105,2,BART
6,4,False,20,3.5058295999997426,105,2,BART
7,3,True,0,1.3936918999997943,105,2,BART
8,3,True,0,1.471910499999467,105,2,BART
9,4,False,20,2.7984120999999504,105,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.9,,,,,,
爆炸率(%),50.0,,,,,,
总收益(¥),100,,,,,,
每个气球平均收益(¥),10.0,,,,,,
