balloon,pumps,exploded,earned,rt,participant_id,session,task
0,2,True,0,2.294597000349313,104,2,BART
1,3,False,15,6.841757399961352,104,2,BART
2,3,True,0,3.2044409001246095,104,2,BART
3,4,False,20,4.045900399796665,104,2,BART
4,2,True,0,2.2756945001892745,104,2,BART
5,6,False,30,6.92464890005067,104,2,BART
6,6,True,0,4.0843589999713,104,2,BART
7,4,False,20,4.247884000185877,104,2,BART
8,3,False,15,6.51700699981302,104,2,BART
9,4,False,20,5.217273400165141,104,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.7,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),120,,,,,,
每个气球平均收益(¥),12.0,,,,,,
