trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
0,P,False,False,,True,0,0,14,2,N-back
1,E,False,False,,True,0,0,14,2,N-back
2,X,True,True,0.32296930003212765,True,0,0,14,2,N-back
3,O,False,False,,True,0,0,14,2,N-back
4,R,False,False,,True,0,0,14,2,N-back
5,R,False,False,,True,0,0,14,2,N-back
6,P,False,False,,True,0,0,14,2,N-back
7,P,False,False,,True,0,0,14,2,N-back
8,G,False,False,,True,0,0,14,2,N-back
9,Z,False,False,,True,0,0,14,2,N-back
10,X,True,True,0.34368849999736995,True,0,0,14,2,N-back
11,I,False,False,,True,0,0,14,2,N-back
12,M,False,False,,True,0,0,14,2,N-back
13,K,False,False,,True,0,0,14,2,N-back
14,U,False,False,,True,0,0,14,2,N-back
15,X,True,True,0.44675840000854805,True,0,0,14,2,N-back
16,O,False,False,,True,0,0,14,2,N-back
17,U,False,False,,True,0,0,14,2,N-back
18,Z,False,False,,True,0,0,14,2,N-back
19,Z,False,False,,True,0,0,14,2,N-back
20,V,False,False,,True,0,0,14,2,N-back
21,Z,False,False,,True,0,0,14,2,N-back
22,C,False,False,,True,0,0,14,2,N-back
23,J,False,False,,True,0,0,14,2,N-back
24,N,False,False,,True,0,0,14,2,N-back
25,X,True,True,0.3823188000242226,True,0,0,14,2,N-back
26,R,False,False,,True,0,0,14,2,N-back
27,C,False,False,,True,0,0,14,2,N-back
28,K,False,False,,True,0,0,14,2,N-back
29,X,True,True,0.45329979999223724,True,0,0,14,2,N-back
0,X,True,True,0.37215879996074364,True,0,1,14,2,N-back
1,P,False,False,,True,0,1,14,2,N-back
2,F,False,False,,True,0,1,14,2,N-back
3,U,False,False,,True,0,1,14,2,N-back
4,Z,False,False,,True,0,1,14,2,N-back
5,X,True,True,0.38819929998135194,True,0,1,14,2,N-back
6,F,False,False,,True,0,1,14,2,N-back
7,F,False,False,,True,0,1,14,2,N-back
8,O,False,False,,True,0,1,14,2,N-back
9,X,True,True,0.349732699978631,True,0,1,14,2,N-back
10,Q,False,False,,True,0,1,14,2,N-back
11,Q,False,False,,True,0,1,14,2,N-back
12,K,False,False,,True,0,1,14,2,N-back
13,U,False,False,,True,0,1,14,2,N-back
14,X,True,True,0.34108320000814274,True,0,1,14,2,N-back
15,S,False,False,,True,0,1,14,2,N-back
16,Y,False,False,,True,0,1,14,2,N-back
17,X,True,True,0.3585276000085287,True,0,1,14,2,N-back
18,E,False,False,,True,0,1,14,2,N-back
19,G,False,False,,True,0,1,14,2,N-back
