phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.1,4.35,8,2
baseline,neutral,5.25,3.75,8,2
baseline,negative,3.15,4.2,8,2
regulation,negative,2.9,5.7,8,2
