trial,word,color,response,rt,correct,block
0,蓝,Red,1,0.116327600000659,True,0
1,红,Red,1,0.9732536000010441,True,0
2,绿,Blue,3,0.1781479000001127,True,0
3,蓝,Red,1,0.4350259000002552,True,0
4,绿,Red,1,0.5095196999991458,True,0
5,红,Red,1,0.030542900000000373,True,0
6,白,Blue,3,0.11946150000039779,True,0
7,白,Red,1,0.10105880000082834,True,0
8,红,Red,1,0.012745199999699253,True,0
9,红,Green,2,0.4115146000003733,True,0
10,红,Blue,3,0.20671089999996184,True,0
11,白,Red,1,0.09259659999952419,True,0
0,蓝,Green,2,0.688491899998553,True,1
1,绿,Blue,3,0.038533700000698445,True,1
2,绿,Blue,3,0.4861940999999206,True,1
3,绿,Red,1,0.11298399999941466,True,1
4,蓝,Blue,3,0.09029829999963113,True,1
5,红,Green,2,0.6790715999995882,True,1
6,白,Red,1,0.24143739999999525,True,1
7,绿,Green,2,0.2573108999986289,True,1
8,绿,Blue,2,0.13470810000035272,False,1
9,蓝,Red,1,0.49109060000046156,True,1
10,绿,Green,2,0.07199129999935394,True,1
11,绿,Blue,3,0.16796870000143826,True,1
0,绿,Red,1,0.12543410000034783,True,2
1,蓝,Green,2,0.2958098999988579,True,2
2,红,Blue,3,0.029018100000030245,True,2
3,红,Red,1,0.059362900001360686,True,2
4,蓝,Red,1,0.009643700001106481,True,2
5,红,Red,1,0.7017987999988691,True,2
6,白,Green,2,0.3429208000015933,True,2
7,绿,Red,1,0.1260655999994924,True,2
8,蓝,Blue,3,0.04721880000033707,True,2
9,红,Blue,3,0.4132657999998628,True,2
10,红,Blue,3,0.22352479999972275,True,2
11,蓝,Red,1,0.0489648999991914,True,2
0,绿,Green,2,0.1910301999996591,True,3
1,蓝,Green,2,0.49261289999958535,True,3
2,绿,Blue,3,0.12045150000085414,True,3
3,蓝,Green,2,0.43027900000015507,True,3
4,白,Blue,3,0.44017299999904935,True,3
5,白,Blue,3,0.37351329999910377,True,3
6,白,Red,1,0.1823303000001033,True,3
7,白,Red,1,0.13364519999959157,True,3
8,白,Blue,3,0.21537489999900572,True,3
9,绿,Green,2,0.2907938999996986,True,3
10,红,Green,2,0.2221441000001505,True,3
11,蓝,Blue,3,0.15893789999972796,True,3
0,红,Blue,3,0.24720849999903294,True,4
1,红,Green,2,0.1011672999993607,True,4
2,蓝,Green,2,0.4644858999999997,True,4
3,白,Red,1,0.038688399999955436,True,4
4,绿,Red,1,0.3971897999999783,True,4
5,蓝,Red,1,0.027551600000151666,True,4
6,绿,Green,2,0.17809379999926023,True,4
7,红,Blue,3,0.09623009999995702,True,4
8,绿,Red,1,0.7342138000003615,True,4
9,红,Red,1,0.08956820000094012,True,4
10,红,Red,1,0.0435235000004468,True,4
11,绿,Blue,3,0.4995156000004499,True,4
0,蓝,Blue,3,0.06326280000030238,True,5
1,红,Blue,3,0.3504933999993227,True,5
2,绿,Red,1,0.5064573999989079,True,5
3,红,Green,2,0.2187722999988182,True,5
4,白,Red,1,0.5695918000001257,True,5
5,红,Red,1,0.3023159000003943,True,5
6,白,Blue,3,0.21855990000040038,True,5
7,蓝,Green,2,0.5693996000009065,True,5
8,白,Green,2,0.17826330000025337,True,5
9,绿,Red,1,0.0023586999996041413,True,5
10,蓝,Red,1,0.2820689999989554,True,5
11,绿,Blue,3,0.22209159999874828,True,5
0,绿,Red,1,0.06439839999984542,True,6
1,白,Blue,3,0.028160999998362968,True,6
2,白,Red,1,0.0919157999996969,True,6
3,蓝,Green,2,0.3905192000001989,True,6
4,蓝,Blue,3,0.48869659999945725,True,6
5,白,Red,1,0.13595449999957054,True,6
6,蓝,Green,2,0.30046820000097796,True,6
7,白,Red,1,0.16218370000024152,True,6
8,蓝,Green,2,0.22192270000050485,True,6
9,绿,Blue,3,0.28127499999936845,True,6
10,蓝,Green,2,0.11508870000034221,True,6
11,绿,Green,2,0.022683200000756187,True,6
0,蓝,Blue,3,0.05873529999917082,True,7
1,蓝,Blue,3,0.18521719999989728,True,7
2,绿,Green,2,0.42710299999998824,True,7
3,绿,Blue,3,0.1906546000009257,True,7
4,红,Green,2,0.4049892999992153,True,7
5,红,Red,1,0.026307800000722636,True,7
6,绿,Red,1,0.16868220000105794,True,7
7,绿,Blue,3,0.27104789999975765,True,7
8,白,Red,1,0.21536809999997786,True,7
9,蓝,Red,1,0.1876278000017919,True,7
10,红,Red,1,0.16294060000109312,True,7
11,绿,Blue,3,0.2627036000012595,True,7
