balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,2.3267221999994945,6,2,BART
1,3,False,15,2.5665085000073304,6,2,BART
2,3,False,15,2.749929700003122,6,2,BART
3,4,False,20,2.5591160000039963,6,2,BART
4,4,False,20,2.5657227000046987,6,2,BART
5,4,False,20,2.575641200004611,6,2,BART
6,3,True,0,2.484428099996876,6,2,BART
7,4,False,20,3.0401501000014832,6,2,BART
8,2,False,10,1.9499151000054553,6,2,BART
9,4,True,0,2.5212824999907752,6,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.4,,,,,,
爆炸率(%),20.0,,,,,,
总收益(¥),135,,,,,,
每个气球平均收益(¥),13.5,,,,,,
