trial,stimulus,target,response,rt,correct,n_back,block,participant_id,session,task
8,C,False,False,,True,2,0,19,1,N-back
9,A,True,False,,False,2,0,19,1,N-back
10,C,True,False,,False,2,0,19,1,N-back
11,A,True,False,,False,2,0,19,1,N-back
12,C,True,False,,False,2,0,19,1,N-back
13,W,False,False,,True,2,0,19,1,N-back
14,G,False,False,,True,2,0,19,1,N-back
15,T,False,False,,True,2,0,19,1,N-back
16,G,True,False,,False,2,0,19,1,N-back
17,R,False,False,,True,2,0,19,1,N-back
18,U,False,False,,True,2,0,19,1,N-back
19,R,True,True,0.4422841000050539,True,2,0,19,1,N-back
20,N,False,False,,True,2,0,19,1,N-back
21,B,False,False,,True,2,0,19,1,N-back
22,M,False,False,,True,2,0,19,1,N-back
23,J,False,False,,True,2,0,19,1,N-back
24,M,True,False,,False,2,0,19,1,N-back
25,J,True,False,,False,2,0,19,1,N-back
26,M,True,False,,False,2,0,19,1,N-back
27,K,False,False,,True,2,0,19,1,N-back
28,M,True,False,,False,2,0,19,1,N-back
29,K,True,False,,False,2,0,19,1,N-back
0,O,False,False,,True,2,1,19,1,N-back
1,Z,False,False,,True,2,1,19,1,N-back
2,N,False,False,,True,2,1,19,1,N-back
3,J,False,False,,True,2,1,19,1,N-back
4,E,False,False,,True,2,1,19,1,N-back
5,M,False,False,,True,2,1,19,1,N-back
6,Y,False,False,,True,2,1,19,1,N-back
7,Y,False,True,0.4099226000107592,False,2,1,19,1,N-back
8,P,False,False,,True,2,1,19,1,N-back
9,Y,True,False,,False,2,1,19,1,N-back
10,P,True,False,,False,2,1,19,1,N-back
11,F,False,False,,True,2,1,19,1,N-back
12,I,False,False,,True,2,1,19,1,N-back
13,H,False,False,,True,2,1,19,1,N-back
14,M,False,False,,True,2,1,19,1,N-back
15,M,False,False,,True,2,1,19,1,N-back
16,Z,False,False,,True,2,1,19,1,N-back
17,Z,False,False,,True,2,1,19,1,N-back
18,J,False,False,,True,2,1,19,1,N-back
19,J,False,False,,True,2,1,19,1,N-back
20,H,False,False,,True,2,1,19,1,N-back
21,O,False,False,,True,2,1,19,1,N-back
22,R,False,False,,True,2,1,19,1,N-back
23,O,True,False,,False,2,1,19,1,N-back
24,N,False,False,,True,2,1,19,1,N-back
25,O,True,False,,False,2,1,19,1,N-back
26,V,False,False,,True,2,1,19,1,N-back
27,S,False,False,,True,2,1,19,1,N-back
28,H,False,False,,True,2,1,19,1,N-back
29,Z,False,False,,True,2,1,19,1,N-back
