balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,3.5967413997277617,112,2,BART
1,6,True,0,7.381465099751949,112,2,BART
2,6,True,0,5.681581099983305,112,2,BART
3,4,True,0,3.9166215998120606,112,2,BART
4,2,True,0,2.454411100130528,112,2,BART
5,5,False,25,7.028057399671525,112,2,BART
6,2,True,0,2.3631192999891937,112,2,BART
7,5,True,0,4.892678699921817,112,2,BART
8,4,True,0,4.352166200056672,112,2,BART
9,5,True,0,4.24802689999342,112,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.2,,,,,,
爆炸率(%),90.0,,,,,,
总收益(¥),25,,,,,,
每个气球平均收益(¥),2.5,,,,,,
