balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,True,0,7.277431099999376,11,1,BART
1,5,True,0,7.47146740000062,11,1,BART
2,4,False,20,6.470073100000263,11,1,BART
3,4,True,0,3.5929355999996915,11,1,BART
4,4,False,20,4.09128999999939,11,1,BART
5,4,True,0,7.939854899999773,11,1,BART
6,3,True,0,3.584424300000137,11,1,BART
7,4,False,20,5.501806199999919,11,1,BART
8,4,False,20,6.833453299999746,11,1,BART
9,4,True,0,3.4089598999999,11,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.1,,,,,,
爆炸率(%),60.0,,,,,,
总收益(¥),80,,,,,,
每个气球平均收益(¥),8.0,,,,,,
