balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,8.326794299762696,104,1,BART
1,2,False,10,5.160734999924898,104,1,BART
2,4,False,20,6.5661320998333395,104,1,BART
3,4,False,20,6.383448600303382,104,1,BART
4,6,False,30,6.367801799904555,104,1,BART
5,3,True,0,4.628628100268543,104,1,BART
6,3,False,15,4.921072400175035,104,1,BART
7,4,False,20,3.4993141000159085,104,1,BART
8,2,True,0,3.561863699927926,104,1,BART
9,5,False,25,6.371760900132358,104,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.6,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
