phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,8.6,4.5,25,1
baseline,neutral,6.1,3.15,25,1
baseline,negative,1.35,7.75,25,1
regulation,negative,1.85,8.05,25,1
