balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,True,0,5.63551759999973,27,2,BART
1,4,False,20,4.16262579999966,27,2,BART
2,5,True,0,4.757342100001551,27,2,BART
3,3,True,0,3.6710466999975324,27,2,BART
4,2,True,0,4.113755000002129,27,2,BART
5,5,False,25,4.865718999997625,27,2,BART
6,6,True,0,5.763933700000052,27,2,BART
7,2,True,0,2.133645300000353,27,2,BART
8,3,True,0,2.4214850999996997,27,2,BART
9,5,False,25,4.94032960000186,27,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.0,,,,,,
爆炸率(%),70.0,,,,,,
总收益(¥),70,,,,,,
每个气球平均收益(¥),7.0,,,,,,
