balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,3.1852974999928847,22,2,BART
1,4,False,20,2.940304699994158,22,2,BART
2,5,True,0,4.99577130000398,22,2,BART
3,5,False,25,3.497015500004636,22,2,BART
4,4,True,0,3.514774599985685,22,2,BART
5,3,False,15,3.2004585999966366,22,2,BART
6,6,False,30,4.88452610000968,22,2,BART
7,5,False,25,4.382505599991418,22,2,BART
8,4,True,0,4.040322900007595,22,2,BART
9,6,False,30,6.226176500000292,22,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.5,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),160,,,,,,
每个气球平均收益(¥),16.0,,,,,,
