balloon,pumps,exploded,earned,rt,participant_id,session,task
0,2,False,10,3.322100199999113,18,2,BART
1,1,False,5,2.6166035999995074,18,2,BART
2,2,True,0,2.0013701999996556,18,2,BART
3,4,False,20,4.256113800001913,18,2,BART
4,3,False,15,3.925419499999407,18,2,BART
5,2,False,10,4.841378500001156,18,2,BART
6,2,False,10,5.558006499999465,18,2,BART
7,2,False,10,3.3587098000025435,18,2,BART
8,3,False,15,4.425119999999879,18,2,BART
9,1,False,5,2.282924799998,18,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,2.2,,,,,,
爆炸率(%),10.0,,,,,,
总收益(¥),100,,,,,,
每个气球平均收益(¥),10.0,,,,,,
