balloon,pumps,exploded,earned,rt,participant_id,session,task
0,2,False,10,3.128232900009607,28,2,BART
1,4,True,0,3.843078300007619,28,2,BART
2,3,False,15,5.215953599996283,28,2,BART
3,4,True,0,3.9492771000077482,28,2,BART
4,3,False,15,4.766944100003457,28,2,BART
5,4,True,0,3.7097135000076378,28,2,BART
6,5,True,0,5.4434478000039235,28,2,BART
7,2,True,0,2.138198899992858,28,2,BART
8,3,False,15,4.2331018000113545,28,2,BART
9,4,False,20,4.750457499991171,28,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.4,,,,,,
爆炸率(%),50.0,,,,,,
总收益(¥),75,,,,,,
每个气球平均收益(¥),7.5,,,,,,
