trial,word,color,response,rt,correct,block
0,白,Blue,1,0.3738568997941911,False,0
1,绿,Red,1,0.3535482999868691,True,0
2,红,Blue,3,1.2900462998077273,True,0
3,绿,Green,2,0.025535999797284603,True,0
4,蓝,Red,1,0.3175248997285962,True,0
5,白,Blue,3,0.2626217002980411,True,0
6,绿,Blue,3,0.16938709979876876,True,0
7,红,Green,1,1.5389942000620067,False,0
8,蓝,Green,3,0.3098855996504426,False,0
9,绿,Blue,3,0.8581306003034115,True,0
10,白,Red,1,1.5222646002657712,True,0
11,绿,Red,1,0.5083729000762105,True,0
0,绿,Red,1,0.4090312998741865,True,1
1,红,Blue,2,0.2863087998703122,False,1
2,蓝,Green,2,0.28673839988186955,True,1
3,白,Green,2,0.21536669973284006,True,1
4,红,Red,1,0.5331883002072573,True,1
5,红,Blue,1,0.37379169976338744,False,1
6,白,Red,1,0.23236639983952045,True,1
7,蓝,Green,2,0.20868440018966794,True,1
8,红,Blue,1,0.1942333998158574,False,1
9,蓝,Red,1,1.0118700000457466,True,1
10,绿,Green,2,0.21779479971155524,True,1
11,蓝,Blue,3,0.23306749993935227,True,1
0,蓝,Red,1,0.6565623995848,True,2
1,绿,Blue,3,0.2596256001852453,True,2
2,绿,Green,2,0.0251584998331964,True,2
3,绿,Green,2,0.07056659972295165,True,2
4,绿,Blue,3,0.5010720998980105,True,2
5,红,Green,2,0.083094900008291,True,2
6,红,Blue,1,0.33047439996153116,False,2
7,绿,Green,2,0.22512509999796748,True,2
8,红,Green,2,0.3114368002861738,True,2
9,白,Green,2,0.5738836000673473,True,2
10,白,Blue,3,0.08718879986554384,True,2
11,蓝,Red,1,0.4488585996441543,True,2
0,红,Green,2,0.47059019980952144,True,3
1,白,Red,1,0.6471481998451054,True,3
2,白,Blue,3,0.5811234000138938,True,3
3,白,Blue,3,0.1557859000749886,True,3
4,绿,Red,1,0.1623968998901546,True,3
5,白,Blue,3,0.6915561002679169,True,3
6,蓝,Red,1,0.6936707999557257,True,3
7,绿,Red,1,0.012972000055015087,True,3
8,蓝,Blue,3,0.16911259992048144,True,3
9,蓝,Red,1,0.45684830006211996,True,3
10,白,Blue,1,0.3704940997995436,False,3
11,红,Blue,3,1.1069264002144337,True,3
0,蓝,Green,2,0.234124599955976,True,4
1,绿,Green,2,0.11586959986016154,True,4
2,白,Blue,3,0.7482328996993601,True,4
3,绿,Red,1,0.8032836001366377,True,4
4,白,Green,2,0.20672699995338917,True,4
5,红,Red,1,0.34334110002964735,True,4
6,绿,Green,2,0.8192861997522414,True,4
7,红,Blue,3,0.3502166997641325,True,4
8,红,Blue,3,0.10627370001748204,True,4
9,绿,Red,1,0.25094350008293986,True,4
10,红,Blue,3,0.5581727996468544,True,4
11,红,Blue,3,0.48925510002300143,True,4
0,红,Red,1,0.3007694003172219,True,5
1,蓝,Red,1,0.6230433001182973,True,5
2,蓝,Green,2,0.26499220030382276,True,5
3,蓝,Red,1,0.09394749999046326,True,5
4,白,Blue,3,0.3200032999739051,True,5
5,红,Blue,3,0.2916516000404954,True,5
6,白,Red,1,0.5664971000514925,True,5
7,绿,Green,2,0.2097223000600934,True,5
8,绿,Red,1,0.8925561001524329,True,5
9,蓝,Green,2,0.1903245998546481,True,5
10,蓝,Green,2,0.6848785998299718,True,5
11,白,Green,2,1.2746465997770429,True,5
0,白,Red,1,0.17755759973078966,True,6
1,蓝,Red,1,0.1693011000752449,True,6
2,红,Red,1,0.06679359963163733,True,6
3,白,Blue,3,0.5805815998464823,True,6
4,白,Green,2,0.26698389975354075,True,6
5,红,Green,2,0.16309469984844327,True,6
6,绿,Blue,3,0.12189210020005703,True,6
7,白,Blue,3,0.8339304998517036,True,6
8,白,Green,2,0.60754460003227,True,6
9,红,Blue,3,0.32953649992123246,True,6
10,红,Red,1,0.1202628999017179,True,6
11,蓝,Red,1,1.1990399998612702,True,6
0,蓝,Blue,3,0.31937200017273426,True,7
1,绿,Red,1,0.0202649999409914,True,7
2,红,Red,1,0.7429831000044942,True,7
3,绿,Red,1,0.6814043000340462,True,7
4,白,Red,1,0.19974839966744184,True,7
5,白,Green,2,0.3321703998371959,True,7
6,白,Red,1,0.6483879000879824,True,7
7,红,Green,2,0.42803099984303117,True,7
8,蓝,Red,1,0.6744789001531899,True,7
9,红,Blue,3,0.3846016996540129,True,7
10,绿,Green,2,0.09398900019004941,True,7
11,绿,Green,2,0.07216589991003275,True,7
