balloon,pumps,exploded,earned,rt,participant_id,session,task
0,7,False,35,7.606853500008583,108,1,BART
1,6,True,0,5.49564820015803,108,1,BART
2,3,True,0,2.803561800159514,108,1,BART
3,4,True,0,2.0547043001279235,108,1,BART
4,2,False,10,3.4049849999137223,108,1,BART
5,4,False,20,2.607502300059423,108,1,BART
6,2,False,10,2.2414941999595612,108,1,BART
7,6,False,30,2.7243516999296844,108,1,BART
8,2,False,10,1.8426765999756753,108,1,BART
9,7,True,0,5.280799499945715,108,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.3,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),115,,,,,,
每个气球平均收益(¥),11.5,,,,,,
