level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,493.449450043651,100.0,100.0,100.0,457.80767512042075,511.27033750526607,585.9381998889148,122,1
block,2,100.0,305.35092499728006,100.0,100.0,100.0,128.8085668347776,364.1983777181142,149.71280004829168,122,1
block,3,91.66666666666666,301.5858751023188,100.0,88.88888888888889,100.0,237.8329667262733,322.83684456100065,483.1782500259578,122,1
block,4,100.0,384.3927916993077,100.0,100.0,100.0,699.9740500468761,321.276540029794,361.6392998956144,122,1
block,5,100.0,306.9671334233135,100.0,100.0,100.0,420.48186007887125,225.88518581220083,317.9851002059877,122,1
block,6,91.66666666666666,267.6295916317031,100.0,88.88888888888889,,114.15469987938802,318.78788888247476,,122,1
block,7,100.0,391.56717496613663,100.0,100.0,100.0,454.1980399750173,346.8308428169361,299.853699747473,122,1
block,8,100.0,372.0615249670421,100.0,100.0,100.0,131.7548502702266,420.1228599064052,386.70012494549155,122,1
total,all,97.91666666666666,352.8755583538441,100.0,97.10144927536231,100.0,344.83247043357954,356.0228536269911,395.53592137859334,122,1
