balloon,pumps,exploded,earned,rt,participant_id,session,task
0,4,False,20,3.684908600000199,32,2,BART
1,2,False,10,2.4919985000160523,32,2,BART
2,5,True,0,1.9625743000069633,32,2,BART
3,4,False,20,2.779558000009274,32,2,BART
4,6,True,0,3.3156527999963146,32,2,BART
5,5,False,25,2.83511109999381,32,2,BART
6,2,True,0,0.6945181000046432,32,2,BART
7,4,False,20,2.5382150000077672,32,2,BART
8,5,False,25,3.291231899987906,32,2,BART
9,4,False,20,2.2835118000220973,32,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.1,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),140,,,,,,
每个气球平均收益(¥),14.0,,,,,,
