balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,False,25,4.147018300000127,17,1,BART
1,6,False,30,4.816558199998326,17,1,BART
2,5,False,25,4.40880130000005,17,1,BART
3,6,True,0,6.708092300001226,17,1,BART
4,5,True,0,5.40691969999898,17,1,BART
5,3,False,15,3.0679841000001034,17,1,BART
6,3,False,15,5.592999899999995,17,1,BART
7,2,True,0,2.9627151999993657,17,1,BART
8,2,False,10,4.119722499999625,17,1,BART
9,3,False,15,4.134665699999459,17,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.0,,,,,,
爆炸率(%),30.0,,,,,,
总收益(¥),135,,,,,,
每个气球平均收益(¥),13.5,,,,,,
