balloon,pumps,exploded,earned,rt,participant_id,session,task
0,7,True,0,4.005480199994054,32,1,BART
1,4,True,0,1.5125908000045456,32,1,BART
2,5,True,0,1.8865179999847896,32,1,BART
3,3,True,0,2.6271895999962,32,1,BART
4,6,False,30,7.99978509999346,32,1,BART
5,5,True,0,2.7544172999914736,32,1,BART
6,8,True,0,2.970490699983202,32,1,BART
7,2,True,0,1.0331816999823786,32,1,BART
8,6,False,30,5.533849999977974,32,1,BART
9,6,False,30,3.092271500005154,32,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,5.2,,,,,,
爆炸率(%),70.0,,,,,,
总收益(¥),90,,,,,,
每个气球平均收益(¥),9.0,,,,,,
