phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,6.7,5.35,5,1
baseline,neutral,4.9,3.6,5,1
baseline,negative,1.25,6.95,5,1
regulation,negative,4.0,4.35,5,1
