trial,word,color,response,rt,correct,block
0,白,Green,2,0.3887640000320971,True,0
1,红,Red,1,0.7581175002269447,True,0
2,蓝,Blue,3,0.07553219981491566,True,0
3,绿,Red,1,0.10409370018169284,True,0
4,白,Blue,3,0.446773000061512,True,0
5,蓝,Green,2,0.34638730017468333,True,0
6,白,Blue,3,0.08646879997104406,True,0
7,蓝,Green,2,0.0633836998604238,True,0
8,蓝,Red,1,0.3742575002834201,True,0
9,红,Blue,3,0.10367009975016117,True,0
10,绿,Red,1,0.10203169984742999,True,0
11,白,Red,1,0.03423520037904382,True,0
0,蓝,Red,1,0.05370979988947511,True,1
1,蓝,Green,2,0.12660369975492358,True,1
2,蓝,Red,1,0.12602129997685552,True,1
3,红,Green,2,0.18912289990112185,True,1
4,蓝,Green,2,0.04388799984008074,True,1
5,白,Red,1,0.10502990009263158,True,1
6,蓝,Red,1,0.3266455000266433,True,1
7,蓝,Blue,2,0.20023219985887408,False,1
8,绿,Green,2,0.07972869975492358,True,1
9,蓝,Red,1,0.04553359979763627,True,1
10,蓝,Blue,3,0.3977959998883307,True,1
11,绿,Green,2,0.0403658002614975,True,1
0,红,Green,2,0.17819749983027577,True,2
1,绿,Red,1,0.012643299996852875,True,2
2,绿,Red,1,0.058820000384002924,True,2
3,蓝,Blue,3,0.4772871001623571,True,2
4,绿,Green,2,0.28506729984655976,True,2
5,绿,Blue,3,0.48879639990627766,True,2
6,绿,Blue,3,0.30067439982667565,True,2
7,蓝,Blue,3,0.01105140009894967,True,2
8,蓝,Red,1,0.2123126001097262,True,2
9,蓝,Green,2,0.12016029981896281,True,2
10,蓝,Green,2,0.0018110000528395176,True,2
11,绿,Blue,3,0.18790840031579137,True,2
0,白,Red,1,0.12732889968901873,True,3
1,白,Red,1,0.28701219987124205,True,3
2,绿,Blue,3,0.3015375998802483,True,3
3,红,Red,1,0.2542167999781668,True,3
4,白,Red,1,0.03760919999331236,True,3
5,白,Green,2,0.05827010003849864,True,3
6,白,Green,2,0.20532700000330806,True,3
7,绿,Green,2,0.20271229976788163,True,3
8,蓝,Red,1,0.25793669978156686,True,3
9,绿,Blue,3,0.06758090015500784,True,3
10,白,Green,2,0.07721039978787303,True,3
11,白,Red,1,0.009709400124847889,True,3
0,绿,Blue,3,0.26327000046148896,True,4
1,蓝,Green,2,0.1497654002159834,True,4
2,绿,Red,1,0.3402564995922148,True,4
3,蓝,Blue,3,0.0059298002161085606,True,4
4,白,Red,1,0.0022615003399550915,True,4
5,绿,Green,2,0.32136719999834895,True,4
6,白,Blue,3,0.0363692999817431,True,4
7,绿,Red,1,0.043084700126200914,True,4
8,绿,Green,2,0.025471200235188007,True,4
9,绿,Blue,3,0.02348579978570342,True,4
10,红,Green,2,0.0801876001060009,True,4
11,白,Blue,3,0.17465850012376904,True,4
0,白,Green,2,0.09264279995113611,True,5
1,蓝,Blue,3,0.15182349970564246,True,5
2,白,Blue,3,0.10959890019148588,True,5
3,白,Red,1,0.011736799962818623,True,5
4,白,Green,2,0.05601800000295043,True,5
5,红,Red,1,0.13719990011304617,True,5
6,白,Red,1,0.20429119979962707,True,5
7,蓝,Red,1,0.014061700087040663,True,5
8,红,Blue,3,0.4379795999266207,True,5
9,蓝,Blue,3,0.038833499886095524,True,5
10,红,Green,2,0.012116000056266785,True,5
11,白,Red,1,0.3613787000067532,True,5
0,绿,Green,2,0.19500150019302964,True,6
1,绿,Red,1,0.06791439978405833,True,6
2,绿,Red,1,0.054147299844771624,True,6
3,白,Blue,3,0.18071450013667345,True,6
4,绿,Green,2,0.025057699996978045,True,6
5,绿,Red,1,0.00506300013512373,True,6
6,红,Red,1,0.3696177997626364,True,6
7,白,Blue,3,0.14410779997706413,True,6
8,蓝,Blue,3,0.4960366999730468,True,6
9,白,Blue,3,0.034828399773687124,True,6
10,白,Green,2,0.07863269979134202,True,6
11,绿,Red,1,0.0844442998059094,True,6
0,白,Green,2,0.06983230030164123,True,7
1,白,Blue,3,0.09101839968934655,True,7
2,蓝,Green,2,0.12021209998056293,True,7
3,红,Blue,3,0.08165429998189211,True,7
4,绿,Green,2,0.028521900065243244,True,7
5,蓝,Green,2,0.2849878999404609,True,7
6,红,Red,1,0.07240530010312796,True,7
7,蓝,Green,1,0.18740649987012148,False,7
8,红,Red,1,0.25015460001304746,True,7
9,红,Blue,3,0.14666290022432804,True,7
10,白,Green,2,0.027229500003159046,True,7
11,绿,Green,2,0.07689199969172478,True,7
