balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,True,0,1.4941053000002285,2,2,BART
1,5,True,0,3.398218900001666,2,2,BART
2,5,True,0,2.735224500000186,2,2,BART
3,5,False,25,3.0097783999990497,2,2,BART
4,5,False,25,3.3514715999990585,2,2,BART
5,2,True,0,1.3373159000002488,2,2,BART
6,5,False,25,4.470154800001183,2,2,BART
7,5,False,25,4.416290299999673,2,2,BART
8,5,False,25,3.775525100001687,2,2,BART
9,5,False,25,3.48200640000141,2,2,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,4.5,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),150,,,,,,
每个气球平均收益(¥),15.0,,,,,,
