balloon,pumps,exploded,earned,rt,participant_id,session,task
0,3,False,15,3.5907936999574304,102,1,BART
1,4,False,20,4.800902500050142,102,1,BART
2,4,False,20,2.814825600013137,102,1,BART
3,5,False,25,5.959355700062588,102,1,BART
4,6,True,0,7.75254000001587,102,1,BART
5,4,True,0,2.0111108999699354,102,1,BART
6,2,False,10,2.4190405001863837,102,1,BART
7,4,False,20,3.525473600020632,102,1,BART
8,3,True,0,2.6376541999634355,102,1,BART
9,3,True,0,2.8457021999638528,102,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.8,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),110,,,,,,
每个气球平均收益(¥),11.0,,,,,,
