balloon,pumps,exploded,earned,rt,participant_id,session,task
0,5,True,0,4.429642500006594,6,1,BART
1,3,False,15,3.310344299999997,6,1,BART
2,4,False,20,5.015148899998167,6,1,BART
3,5,False,25,5.392750699989847,6,1,BART
4,2,True,0,1.724908599993796,6,1,BART
5,2,True,0,2.406115100005991,6,1,BART
6,2,False,10,2.910092000005534,6,1,BART
7,3,False,15,2.609838899996248,6,1,BART
8,2,False,10,2.2318442999967374,6,1,BART
9,4,True,0,2.1079977999906987,6,1,BART
,,,,,,,
Summary Statistics,,,,,,,
平均充气次数,3.2,,,,,,
爆炸率(%),40.0,,,,,,
总收益(¥),95,,,,,,
每个气球平均收益(¥),9.5,,,,,,
