level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,889.3230333342217,,100.0,100.0,,953.8097285736253,799.0416599990567,23,1
block,2,100.0,694.9277583359313,100.0,100.0,100.0,699.5014999944639,700.7510000070656,667.6857999991626,23,1
block,3,100.0,927.1529166653636,100.0,100.0,100.0,914.9457333357229,848.4893749973708,1593.0827999982284,23,1
block,4,100.0,673.4661583335158,100.0,100.0,100.0,820.067466663507,632.7718625016132,559.2165999987628,23,1
block,5,100.0,801.0265916636854,100.0,100.0,100.0,876.6650799952913,719.0876199980266,816.7777999988175,23,1
block,6,100.0,743.6199583329047,100.0,100.0,100.0,596.0704499957501,813.9683624995087,609.7758500036434,23,1
block,7,100.0,784.1411416641979,100.0,100.0,100.0,728.8945599982981,905.2577199967345,619.4661499976064,23,1
block,8,100.0,867.6431333309058,100.0,100.0,100.0,726.2345499984804,934.1483199968934,857.7013799978886,23,1
total,all,100.0,797.6625864575908,100.0,100.0,100.0,781.563143475543,806.3439660379443,793.1712899990089,23,1
