level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,382.9346666667182,100.0,100.0,100.0,141.230700000051,481.83859999999186,340.7987166667681,16,1
block,2,100.0,233.7153666666912,100.0,100.0,100.0,305.3145999999742,185.64478333344894,234.72864999985174,16,1
block,3,100.0,219.9343666666209,100.0,100.0,100.0,151.24442499995888,303.9830599999732,171.43979999991643,16,1
block,4,100.0,286.361124999947,100.0,100.0,100.0,218.85242500002278,357.8375333333194,297.48223999986294,16,1
block,5,91.66666666666666,253.58543333326605,75.0,100.0,100.0,320.76295000001664,245.72639999987584,177.11379999991547,16,1
block,6,100.0,199.6043000000706,100.0,100.0,100.0,104.15770000008705,176.72506000008065,260.6621800000539,16,1
block,7,100.0,368.75829166668456,100.0,100.0,100.0,199.9066000000766,370.06986666672975,451.21677499992074,16,1
block,8,100.0,491.92381666663704,100.0,100.0,,628.5493666665994,446.38196666664953,,16,1
total,all,98.95833333333334,304.60217083332947,95.83333333333334,100.0,100.0,275.8210416666695,328.786450000011,291.2678428571098,16,1
