phase,category,mean_valence,mean_arousal,participant_id,session
baseline,positive,7.15,6.3,31,1
baseline,neutral,4.25,3.55,31,1
baseline,negative,2.25,6.3,31,1
regulation,negative,2.65,7.2,31,1
