level,block,正确率,平均反应时,一致条件正确率,不一致条件正确率,中性词正确率,一致条件反应时,不一致条件反应时,中性词反应时,participant_id,session
block,1,100.0,634.3418583328457,100.0,100.0,100.0,211.9581999977526,785.6051624989959,371.76760000147624,2,1
block,2,90.9090909090909,397.1850545445209,100.0,85.71428571428571,100.0,308.3241499971336,492.24508571309605,153.33585000189487,2,1
block,3,100.0,331.6637500001889,100.0,100.0,100.0,351.5876000010394,358.49892500027636,284.9047249992509,2,1
block,4,91.66666666666666,185.9319666667337,75.0,100.0,100.0,191.461525001614,198.2002285710353,77.9358999971009,2,1
block,5,90.9090909090909,310.85200909133573,100.0,85.71428571428571,100.0,464.5660999995016,281.3090428576938,328.54756666711177,2,1
block,6,100.0,346.41945833360904,100.0,100.0,100.0,232.47421666746956,338.3226799996919,1070.5748000000312,2,1
block,7,83.33333333333334,376.60096666665294,100.0,71.42857142857143,100.0,60.748050000256555,496.4825571426315,307.445866666967,2,1
block,8,100.0,718.9099636360136,100.0,100.0,100.0,1614.8325000031036,480.7830999992196,852.1196249994318,2,1
total,all,94.6236559139785,410.70874516119284,95.23809523809523,92.15686274509804,100.0,314.12109523859857,442.6040666662362,429.83632857153896,2,1
