Metric,Pre-coffee,Post-coffee
R-squared,0.5545803524690281,0.547414066631412
Adj. R-squared,0.5427024952015356,0.5348422351489512
F-statistic,46.69026912680692,43.54290521592822
Prob (F-statistic),6.742972243238238e-14,4.0293766130446316e-13
AIC,472.9664871799009,447.64939013098433
BIC,480.0366136599697,454.60185447159324
